crypto,predicted,actual,diff,accuracy
btc,7682.92,7682.92,0.0,0.0
btc,7683.34,7682.73,-0.6100000000005821,-0.08
btc,7682.37,7682.52,0.1500000000005457,0.02
btc,7682.49,7682.53,0.03999999999996362,0.01
btc,7680.97,7682.3,1.3299999999999272,0.17
btc,7681.39,7682.05,0.6599999999998545,0.09
btc,7680.67,7681.82,1.1499999999996362,0.15
btc,7681.05,7681.64,0.5900000000001455,0.08
btc,7680.45,7681.41,0.9600000000000364,0.12
btc,7679.36,7681.19,1.8299999999999272,0.24
btc,7680.06,7680.99,0.9299999999993815,0.12
btc,7680.06,7680.79,0.7299999999995634,0.1
btc,7680.14,7680.6,0.4600000000000364,0.06
btc,7680.22,7680.42,0.1999999999998181,0.03
btc,7680.23,7680.2,-0.02999999999974534,-0.0
btc,7679.51,7680.0,0.4899999999997817,0.06
btc,7680.66,7679.82,-0.8400000000001455,-0.11
btc,7680.4,7679.59,-0.8099999999994907,-0.11
btc,7680.31,7679.39,-0.9200000000000728,-0.12
btc,7679.99,7679.18,-0.8099999999994907,-0.11
btc,7679.51,7678.98,-0.5300000000006548,-0.07
btc,7678.15,7678.77,0.6200000000008004,0.08
btc,7678.4,7678.57,0.17000000000007276,0.02
btc,7678.4,7678.36,-0.03999999999996362,-0.01
btc,7678.32,7678.15,-0.17000000000007276,-0.02
btc,7679.78,7677.94,-1.8400000000001455,-0.24
btc,7678.5,7677.71,-0.7899999999999636,-0.1
btc,7679.39,7677.48,-1.910000000000764,-0.25
btc,7678.54,7678.28,-0.2600000000002183,-0.03
btc,7679.7,7678.06,-1.639999999999418,-0.21
btc,7679.57,7677.84,-1.7299999999995634,-0.23
btc,7679.44,7677.63,-1.8099999999994907,-0.24
btc,7673.9,7677.42,3.5200000000004366,0.46
btc,7674.31,7677.2,2.889999999999418,0.38
btc,7673.77,7676.96,3.1899999999996,0.42
btc,7670.59,7676.75,6.1599999999998545,0.8
btc,7670.29,7676.55,6.260000000000218,0.82
btc,7669.55,7676.34,6.789999999999964,0.88
btc,7669.66,7676.16,6.5,0.85
btc,7669.12,7675.94,6.819999999999709,0.89
btc,7668.99,7675.74,6.75,0.88
btc,7669.2,7675.53,6.329999999999927,0.83
btc,7670.32,7675.32,5.0,0.65
btc,7671.0,7675.12,4.119999999999891,0.54
btc,7671.02,7674.93,3.9099999999998545,0.51
btc,7671.23,7674.79,3.5600000000004,0.46
btc,7671.22,7674.58,3.3599999999996726,0.44
btc,7670.31,7674.39,4.079999999999927,0.53
btc,7670.31,7674.19,3.8799999999991996,0.51
btc,7670.75,7673.99,3.2399999999997817,0.42
btc,7671.06,7673.81,2.75,0.36
btc,7682.92,7682.92,0.0,0.0
btc,7683.34,7682.73,-0.6100000000005821,-0.08
btc,7682.37,7682.52,0.1500000000005457,0.02
btc,7682.49,7682.53,0.03999999999996362,0.01
btc,7680.97,7682.3,1.3299999999999272,0.17
btc,7681.39,7682.05,0.6599999999998545,0.09
btc,7680.67,7681.82,1.1499999999996362,0.15
btc,7681.05,7681.64,0.5900000000001455,0.08
btc,7680.45,7681.41,0.9600000000000364,0.12
btc,7679.36,7681.19,1.8299999999999272,0.24
btc,7680.06,7680.99,0.9299999999993815,0.12
btc,7680.06,7680.79,0.7299999999995634,0.1
btc,7680.14,7680.6,0.4600000000000364,0.06
btc,7680.22,7680.42,0.1999999999998181,0.03
btc,7680.23,7680.2,-0.02999999999974534,-0.0
btc,7679.51,7680.0,0.4899999999997817,0.06
btc,7680.66,7679.82,-0.8400000000001455,-0.11
btc,7680.4,7679.59,-0.8099999999994907,-0.11
btc,7680.31,7679.39,-0.9200000000000728,-0.12
btc,7679.99,7679.18,-0.8099999999994907,-0.11
btc,7679.51,7678.98,-0.5300000000006548,-0.07
btc,7678.15,7678.77,0.6200000000008004,0.08
btc,7678.4,7678.57,0.17000000000007276,0.02
btc,7678.4,7678.36,-0.03999999999996362,-0.01
btc,7678.32,7678.15,-0.17000000000007276,-0.02
btc,7679.78,7677.94,-1.8400000000001455,-0.24
btc,7678.5,7677.71,-0.7899999999999636,-0.1
btc,7679.39,7677.48,-1.910000000000764,-0.25
btc,7678.54,7678.28,-0.2600000000002183,-0.03
btc,7679.7,7678.06,-1.639999999999418,-0.21
btc,7679.57,7677.84,-1.7299999999995634,-0.23
btc,7679.44,7677.63,-1.8099999999994907,-0.24
btc,7673.9,7677.42,3.5200000000004366,0.46
btc,7674.31,7677.2,2.889999999999418,0.38
btc,7673.77,7676.96,3.1899999999996,0.42
btc,7670.59,7676.75,6.1599999999998545,0.8
btc,7670.29,7676.55,6.260000000000218,0.82
btc,7669.55,7676.34,6.789999999999964,0.88
btc,7669.66,7676.16,6.5,0.85
btc,7669.12,7675.94,6.819999999999709,0.89
btc,7668.99,7675.74,6.75,0.88
btc,7669.2,7675.53,6.329999999999927,0.83
btc,7670.32,7675.32,5.0,0.65
btc,7671.0,7675.12,4.119999999999891,0.54
btc,7671.02,7674.93,3.9099999999998545,0.51
btc,7671.23,7674.79,3.5600000000004,0.46
btc,7671.22,7674.58,3.3599999999996726,0.44
btc,7670.31,7674.39,4.079999999999927,0.53
btc,7670.31,7674.19,3.8799999999991996,0.51
btc,7670.75,7673.99,3.2399999999997817,0.42
btc,7671.06,7673.81,2.75,0.36
eth,423.1,423.1,0.0,0.0
eth,423.1,423.11,0.009999999999990905,0.02
eth,423.07,423.09,0.01999999999998181,0.05
eth,423.07,423.08,0.009999999999990905,0.02
eth,423.02,423.04,0.020000000000038654,0.05
eth,422.99,423.03,0.03999999999996362,0.09
eth,422.99,422.92,-0.06999999999999318,-0.17
eth,422.99,423.06,0.06999999999999318,0.17
eth,422.83,423.05,0.22000000000002728,0.52
eth,422.82,422.98,0.160000000000025,0.38
eth,422.91,422.51,-0.4000000000000341,-0.95
eth,422.91,422.58,-0.3300000000000409,-0.78
eth,422.89,422.47,-0.4199999999999591,-0.99
eth,422.89,422.48,-0.40999999999996817,-0.97
eth,422.89,422.6,-0.2899999999999636,-0.69
eth,422.85,422.58,-0.27000000000003865,-0.64
eth,422.85,422.7,-0.1500000000000341,-0.35
eth,422.88,422.74,-0.13999999999998636,-0.33
eth,422.88,422.75,-0.12999999999999545,-0.31
eth,422.85,425.27,2.419999999999959,5.71
eth,422.84,425.14,2.3000000000000114,5.42
eth,422.82,424.97,2.150000000000034,5.07
eth,422.71,425.57,2.8600000000000136,6.74
eth,422.72,425.53,2.8099999999999454,6.63
eth,422.73,425.43,2.6999999999999886,6.37
eth,422.79,425.36,2.569999999999993,6.06
eth,422.75,425.22,2.4700000000000273,5.83
eth,422.75,425.23,2.480000000000018,5.85
eth,422.75,425.36,2.6100000000000136,6.15
eth,422.75,425.37,2.6200000000000045,6.18
eth,422.75,425.29,2.5400000000000205,5.99
eth,422.73,425.16,2.430000000000007,5.73
eth,422.23,425.03,2.7999999999999545,6.61
eth,422.19,425.0,2.8100000000000023,6.63
eth,422.19,424.88,2.6899999999999977,6.35
eth,421.98,425.05,3.069999999999993,7.25
eth,421.98,425.06,3.079999999999984,7.27
eth,421.98,425.09,3.109999999999957,7.34
eth,421.98,425.22,3.240000000000009,7.65
eth,421.92,425.09,3.169999999999959,7.49
eth,421.92,425.06,3.1399999999999864,7.41
eth,421.91,425.07,3.159999999999968,7.46
eth,422.01,424.33,2.319999999999993,5.48
eth,421.97,424.3,2.329999999999984,5.51
eth,422.03,424.17,2.140000000000043,5.06
eth,422.03,424.24,2.2100000000000364,5.22
eth,422.03,424.33,2.3000000000000114,5.44
eth,422.03,424.2,2.170000000000016,5.13
eth,422.03,424.21,2.180000000000007,5.15
eth,422.03,424.27,2.240000000000009,5.29
eth,422.03,424.44,2.410000000000025,5.69
ltc,128.53,128.53,0.0,0.0
ltc,128.53,128.53,0.0,0.0
ltc,128.53,128.52,-0.009999999999990905,-0.08
ltc,128.53,128.52,-0.009999999999990905,-0.08
ltc,128.49,128.52,0.030000000000001137,0.23
ltc,128.5,128.52,0.020000000000010232,0.16
ltc,128.49,128.52,0.030000000000001137,0.23
ltc,128.49,128.52,0.030000000000001137,0.23
ltc,128.49,128.52,0.030000000000001137,0.23
ltc,128.47,128.53,0.060000000000002274,0.47
ltc,128.49,128.52,0.030000000000001137,0.23
ltc,128.49,128.51,0.01999999999998181,0.16
ltc,128.49,128.51,0.01999999999998181,0.16
ltc,128.48,128.5,0.020000000000010232,0.16
ltc,128.48,128.5,0.020000000000010232,0.16
ltc,128.48,128.47,-0.009999999999990905,-0.08
ltc,128.48,128.47,-0.009999999999990905,-0.08
ltc,128.47,128.47,0.0,0.0
ltc,128.47,128.47,0.0,0.0
ltc,128.47,128.45,-0.020000000000010232,-0.16
ltc,128.47,128.45,-0.020000000000010232,-0.16
ltc,128.46,128.45,-0.010000000000019327,-0.08
ltc,128.46,128.45,-0.010000000000019327,-0.08
ltc,128.45,128.45,0.0,0.0
ltc,128.45,128.45,0.0,0.0
ltc,128.47,128.45,-0.020000000000010232,-0.16
ltc,128.47,128.45,-0.020000000000010232,-0.16
ltc,128.45,128.45,0.0,0.0
ltc,128.46,128.45,-0.010000000000019327,-0.08
ltc,128.45,128.45,0.0,0.0
ltc,128.46,128.45,-0.010000000000019327,-0.08
ltc,128.46,128.45,-0.010000000000019327,-0.08
ltc,128.23,128.44,0.21000000000000796,1.64
ltc,128.23,128.44,0.21000000000000796,1.64
ltc,128.23,128.44,0.21000000000000796,1.64
ltc,128.19,128.43,0.2400000000000091,1.87
ltc,128.19,128.43,0.2400000000000091,1.87
ltc,128.2,128.43,0.2300000000000182,1.79
ltc,128.2,128.43,0.2300000000000182,1.79
ltc,128.18,128.42,0.23999999999998067,1.87
ltc,128.18,128.43,0.25,1.95
ltc,128.18,128.43,0.25,1.95
ltc,128.22,128.42,0.19999999999998863,1.56
ltc,128.23,128.42,0.18999999999999773,1.48
ltc,128.23,128.42,0.18999999999999773,1.48
ltc,128.22,128.42,0.19999999999998863,1.56
ltc,128.22,128.42,0.19999999999998863,1.56
ltc,128.22,128.42,0.19999999999998863,1.56
ltc,128.21,128.44,0.22999999999998977,1.79
ltc,128.21,128.44,0.22999999999998977,1.79
ltc,128.21,128.44,0.22999999999998977,1.79
eth,423.1,423.1,0.0,0.0
eth,423.1,423.11,0.009999999999990905,0.02
eth,423.07,423.09,0.01999999999998181,0.05
eth,423.07,423.08,0.009999999999990905,0.02
eth,423.02,423.04,0.020000000000038654,0.05
eth,422.99,423.03,0.03999999999996362,0.09
eth,422.99,422.92,-0.06999999999999318,-0.17
eth,422.99,423.06,0.06999999999999318,0.17
eth,422.83,423.05,0.22000000000002728,0.52
eth,422.82,422.98,0.160000000000025,0.38
eth,422.91,422.51,-0.4000000000000341,-0.95
eth,422.91,422.58,-0.3300000000000409,-0.78
eth,422.89,422.47,-0.4199999999999591,-0.99
eth,422.89,422.48,-0.40999999999996817,-0.97
eth,422.89,422.6,-0.2899999999999636,-0.69
eth,422.85,422.58,-0.27000000000003865,-0.64
eth,422.85,422.7,-0.1500000000000341,-0.35
eth,422.88,422.74,-0.13999999999998636,-0.33
eth,422.88,422.75,-0.12999999999999545,-0.31
eth,422.85,425.27,2.419999999999959,5.71
eth,422.84,425.14,2.3000000000000114,5.42
eth,422.82,424.97,2.150000000000034,5.07
eth,422.71,425.57,2.8600000000000136,6.74
eth,422.72,425.53,2.8099999999999454,6.63
eth,422.73,425.43,2.6999999999999886,6.37
eth,422.79,425.36,2.569999999999993,6.06
eth,422.75,425.22,2.4700000000000273,5.83
eth,422.75,425.23,2.480000000000018,5.85
eth,422.75,425.36,2.6100000000000136,6.15
eth,422.75,425.37,2.6200000000000045,6.18
eth,422.75,425.29,2.5400000000000205,5.99
eth,422.73,425.16,2.430000000000007,5.73
eth,422.23,425.03,2.7999999999999545,6.61
eth,422.19,425.0,2.8100000000000023,6.63
eth,422.19,424.88,2.6899999999999977,6.35
eth,421.98,425.05,3.069999999999993,7.25
eth,421.98,425.06,3.079999999999984,7.27
eth,421.98,425.09,3.109999999999957,7.34
eth,421.98,425.22,3.240000000000009,7.65
eth,421.92,425.09,3.169999999999959,7.49
eth,421.92,425.06,3.1399999999999864,7.41
eth,421.91,425.07,3.159999999999968,7.46
eth,422.01,424.33,2.319999999999993,5.48
eth,421.97,424.3,2.329999999999984,5.51
eth,422.03,424.17,2.140000000000043,5.06
eth,422.03,424.24,2.2100000000000364,5.22
eth,422.03,424.33,2.3000000000000114,5.44
eth,422.03,424.2,2.170000000000016,5.13
eth,422.03,424.21,2.180000000000007,5.15
eth,422.03,424.27,2.240000000000009,5.29
eth,422.03,424.44,2.410000000000025,5.69
ltc,128.53,128.53,0.0,0.0
ltc,128.53,128.53,0.0,0.0
ltc,128.53,128.52,-0.009999999999990905,-0.08
